"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","3","12A204","01","40005","4","1","0","01",7,8,8,10,10,8,10,10,8,10,10,10,4,10,7,8,8,10,0,3,1,0,0,8,8,8,10,7,8,5,10,10,10,8,6,1,9658
"1021","3","12A204","01","40005","2","1","0","01",10,10,10,10,10,10,10,10,10,10,8,10,2,10,10,9,10,10,0,0,1,0,0,10,10,10,10,9,7,0,10,10,10,7,6,1,19317
"1021","3","12A204","01","40005","1","1","0","01",10,8,9,10,10,10,10,10,10,10,10,9,0,10,9,8,10,10,0,1,1,0,0,8,10,9,10,9,8,5,10,10,10,8,7,1,28975
"1021","3","12A204","01","40005","3","1","0","01",9,9,10,10,10,10,10,10,10,10,8,10,0,10,10,10,10,10,0,0,0,0,0,10,10,9,10,9,10,5,10,10,10,9,7,1,38633
"1021","7","12A198","01","40040","1","1","0","03",10,10,10,10,10,9,10,10,9,10,10,8,3,10,10,10,10,10,0,0,0,0,0,9,10,8,10,8,8,6,10,10,10,7,6,1,22355
"1021","7","12A198","01","40040","2","1","0","03",10,10,10,10,10,10,10,10,8,10,6,8,2,10,9,8,10,10,0,1,2,0,0,8,9,7,8,8,7,0,10,10,10,8,6,1,22355
"1021","7","12A198","01","40040","4","1","1","02",10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,0,0,0,0,0,9,9,8,10,8,10,5,10,8,8,9,7,1,14903
"1021","7","12A198","01","40040","3","1","0","04",8,8,8,10,10,10,8,10,10,10,6,7,3,10,7,7,10,10,0,2,2,0,0,8,10,8,10,7,10,6,10,10,8,8,7,1,22355
"1021","6","12B191","01","40139","4","1","0","01",9,8,10,10,10,10,10,10,10,10,8,9,2,10,10,7,10,10,0,0,2,0,0,8,8,8,10,8,10,3,10,10,8,8,7,1,8630
"1021","6","12B191","01","40139","3","1","0","02",8,8,8,8,10,8,10,10,10,10,10,8,3,5,8,7,10,8,5,1,2,0,0,8,8,8,10,7,10,5,10,10,8,8,6,1,25890
