"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","3","12A204","01","40005","1","1","0","03","-","1","3","2","22","22/04/1999","1","07","2","1","6","06",,,,,,1,,9539,0
"00","1021","3","12A204","01","40005","4","1","0","02","-","1","3","1","17","16/05/2004","1","04","1","1","6","06",,,,,,1,,9539,0
"00","1021","3","12A204","01","40005","2","1","0","02","-","1","8","2","30","09/08/1991","1","07","5","2","6","01","5","5","3","2","005000",1,,9539,0
"00","1021","3","12A204","01","40005","3","1","0","02","-","1","2","2","54","15/07/1967","1","06","3","2","5","07",,,,,,1,,9539,0
"00","1021","3","12A204","01","40005","3","1","0","03","-","1","3","1","22","26/02/1999","1","07","2","1","6","01","5","4","3","2","002000",1,,9539,0
"00","1021","3","12A204","01","40005","3","1","0","04","-","1","3","2","20","09/04/2001","1","07","1","1","6","01","5","4","3","2","002000",1,,9539,0
"00","1021","3","12A204","01","40005","3","1","0","01","-","1","1","1","54","28/07/1967","1","07","5","2","5","01","1","5","3","2","006500",1,"1",9539,38633
"00","1021","3","12A204","01","40005","2","1","0","01","-","1","1","2","28","25/11/1992","1","07","5","2","6","01","1","2","3","2","009000",1,"1",9539,19317
"00","1021","3","12A204","01","40005","4","1","0","01","-","1","1","2","51","13/07/1970","1","08","2","2","6","05",,,,,,1,"1",9539,9658
"00","1021","3","12A204","01","40005","1","1","0","02","-","1","2","2","58","12/08/1963","1","02","6","2","5","02","4","4","6","5",,1,,9539,0
"00","1021","3","12A204","01","40005","1","1","0","01","-","1","1","1","56","20/04/1965","1","04","3","2","5","01","4","4","2","1","001000",1,"1",9539,28975
"00","1021","7","12A198","01","40040","2","1","0","03","-","1","3","1","22","19/06/1999","1","03","3","2","6","01","5","5","3","1","001200",1,"1",7395,22355
"00","1021","7","12A198","01","40040","4","1","1","02","-","1","2","2","21","17/08/2000","1","03","2","2","1","07",,,,,,1,"1",7395,14903
"00","1021","7","12A198","01","40040","3","1","0","02","-","1","2","2","50","21/08/1971","1","03","3","2","5","07",,,,,,1,,7395,0
"00","1021","5","12A198","01","40040","3","1","0","01","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","7","12A198","01","40040","4","1","1","03","-","1","3","2","04","01/01/2017",,,,,,,,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","3","1","0","05","-","1","3","1","14","11/08/2007","1","02","6","1","6","06",,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","3","1","0","03","-","1","3","2","28","23/12/1992","1","07","4","2","6","01","5","5","3","2","003500",1,,7395,0
"00","1021","7","12A198","01","40040","1","1","0","01","-","1","1","1","41","12/07/1980","1","02","6","2","5","01","7","3","3","1","002200",1,,7395,0
"00","1021","7","12A198","01","40040","1","1","0","05","-","1","3","2","12","26/02/2009","1","02","5","1","6","06",,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","1","1","0","04","-","1","3","1","17","21/12/2003","1","04","2","1","6","01","4","4","3","1","000900",1,,7395,0
"00","1021","7","12A198","01","40040","1","1","0","03","-","1","3","2","19","11/02/2002","1","04","3","1","6","01","4","4","3","1","000800",1,"1",7395,22355
"00","1021","7","12A198","01","40040","1","1","0","02","-","1","2","2","41","11/12/1979","1","04","3","2","5","01","5","4","3","2","002000",1,,7395,0
"00","1021","7","12A198","01","40040","2","1","0","02","-","1","3","2","18","07/06/2003","1","04","2","1","6","06",,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","2","1","0","01","-","1","1","2","40","25/08/1981","1","03","3","2","6","01","7","4","3","1","001400",1,,7395,0
"00","1021","7","12A198","01","40040","4","1","1","05","-","1","3","1","02","12/06/2019",,,,,,,,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","4","1","1","01","-","1","1","1","22","23/01/1999","1","04","3","2","1","01","7","2","3","1","001400",1,,7395,0
"00","1021","7","12A198","01","40040","4","1","1","04","-","1","3","2","03","09/07/2018",,,,,,,,,,,,1,,7395,0
"00","1021","7","12A198","01","40040","3","1","0","04","-","1","3","1","24","30/09/1997","1","04","3","2","6","04",,,,,,1,"1",7395,22355
"00","1021","6","12B191","01","40139","3","1","0","05","-","1","5","1","03","04/09/2018",,,,,,,,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","3","1","0","03","-","1","3","2","26","13/04/1995","1","04","3","2","5","07",,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","1","1","0","01","-","1","1","2","46","30/08/1975","1","04","3","2","5","01","4","4","2","1","000900",1,"1",8524,8630
"00","1021","6","12B191","01","40139","1","1","0","03","-","1","3","2","06","10/09/2015","2","01","3","1",,,,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","1","1","0","02","-","1","3","1","08","10/09/2013","1","02","2","1",,,,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","4","1","0","01","-","1","1","1","56","04/09/1965","1","07","4","2","5","01","4","4","2","1","001200",1,"1",8524,8630
"00","1021","6","12B191","01","40139","3","1","0","07","-","1","5","2","14","03/11/2006","1","03","3","1","6","06",,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","3","1","0","04","-","1","5","1","27","24/03/1994","1","04","1","2","5","01","5","4","3","1","001600",1,,8524,0
"00","1021","5","12B191","01","40139","3","1","0","01","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","6","12B191","01","40139","3","1","0","02","-","1","2","2","59","24/02/1962","1","02","6","2","5","07",,,,,,1,"1",8524,25890
"00","1021","6","12B191","01","40139","3","1","0","06","-","1","5","1","01","04/09/2020",,,,,,,,,,,,1,,8524,0
"00","1021","6","12B191","01","40139","2","1","0","05","-","1","3","1","21","04/09/2000","1","07","2","1","6","06",,,,,,1,"1",8524,34520
"00","1021","6","12B191","01","40139","2","1","0","04","-","1","3","2","24","04/09/1997","1","06","5","2","6","01","1","2","3","2","005500",1,,8524,0
"00","1021","6","12B191","01","40139","2","1","0","01","-","1","1","1","58","19/03/1963","1","02","6","2","5","01","5","5","3","1","002000",1,,8524,0
"00","1021","4","12B191","01","40139","2","1","0","03","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","6","12B191","01","40139","2","1","0","02","-","1","2","2","62","04/09/1959","2","04","3","2","5","07",,,,,,1,,8524,0
"00","1021","2","12A205","01","40165","3","1","0","01","-","1","1","2","41","26/01/1980","1","02","6","2","6","01","7","2","3","1","001100",1,"1",6957,7044
"00","1021","2","12A205","01","40165","2","1","0","03","-","1","3","2","19","26/11/2001","2","00",,"2","6","09",,,,,,1,,6957,0
"00","1021","2","12A205","01","40165","3","1","0","03","-","1","3","2","14","22/04/2007","1","02","6","2","6","07",,,,,,1,,6957,0
"00","1021","2","12A205","01","40165","3","1","0","04","-","1","3","2","08","21/07/2013","1","02","2","1",,,,,,,,1,,6957,0
"00","1021","2","12A205","01","40165","4","1","0","01","-","1","1","1","56","22/07/1965","1","07","5","2","5","01","4","4","3","1","002200",1,,6957,0
"00","1021","2","12A205","01","40165","4","1","0","02","-","1","2","2","60","25/07/1961","1","04","2","2","5","07",,,,,,1,,6957,0
"00","1021","2","12A205","01","40165","3","1","0","02","-","1","3","2","17","04/04/2004","1","03","3","2","6","07",,,,,,1,,6957,0
"00","1021","2","12A205","01","40165","2","1","0","01","-","1","1","1","45","01/02/1976","1","04","3","2","1","01","5","4","3","1","001400",1,,6957,0
"00","1021","2","12A205","01","40165","2","1","0","02","-","1","2","2","39","09/02/1982","1","03","3","2","1","07",,,,,,1,"1",6957,21132
"00","1021","2","12A205","01","40165","1","1","0","03","-","1","3","1","30","21/02/1991","1","04","2","2","6","01","5","4","3","1","001500",1,,6957,0
