R_DEF_MOD,PER,N_ENT,FOL,ENT,CON,V_SEL,N_HOG,H_MUD,N_REN,NOM,C_RES,PAR,SEX,EDA,F_NAC,ALF,I_NIV,I_ANIO,A_ESC,E_CON,C_ACT,OCU,A_ECO,POS,I_PER,ING,TIPO,ELEGIDO,FACTOR,FAC_MOD
00,1023,7,11A218,01,40029,4,1,0,02,-,1,2,1,39,06/07/1984,1,03,3,2,5,01,7,2,3,1,002200,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,04,-,1,3,1,42,04/07/1981,1,03,3,2,4,01,4,4,2,1,001200,1,1,7768,31290
00,1023,7,11A218,01,40029,3,1,0,02,-,1,3,1,31,15/07/1992,1,03,2,2,6,01,7,2,3,1,002000,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,05,-,1,5,2,17,27/12/2005,1,04,2,1,6,06, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,02,-,1,2,1,58,19/03/1965,1,02,3,2,1,01,5,5,3,2,002500,1, ,7768,0
00,1023,7,11A218,01,40029,1,1,0,05,-,1,3,1,02,20/12/2020, , , , , , , , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,1,1,0,03,-,1,3,1,12,11/03/2011,1,02,5,1,6,06, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,3,1,0,01,-,1,1,1,63,29/05/1960,1,02,2,2,4,08, , , , , ,1,1,7768,23467
00,1023,7,11A218,01,40029,4,1,0,03,-,1,3,1,16,05/01/2007,1,03,2,1,6,06, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,1,1,0,02,-,1,3,2,20,02/08/2003,1,07,1,2,6,01,4,4,3,1,001200,1, ,7768,0
00,1023,7,11A218,01,40029,4,1,0,04,-,1,3,1,20,01/01/2003,1,03,3,2,6,01,7,2,3,1,001800,1, ,7768,0
00,1023,7,11A218,01,40029,1,1,0,01,-,1,1,2,40,08/02/1983,1,03,3,2,2,07, , , , , ,1,1,7768,15645
00,1023,7,11A218,01,40029,4,1,0,01,-,1,1,2,35,12/04/1988,1,03,3,2,5,07, , , , , ,1,1,7768,23467
00,1023,7,11A218,01,40029,2,1,0,06,-,1,5,2,14,14/12/2008,1,03,2,1,6,06, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,07,-,1,5,1,12,29/08/2011,1,02,5,1,6,06, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,1,1,0,04,-,1,3,1,08,31/07/2015,1,02,1,1, , , , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,01,-,1,1,2,60,18/12/1962,1,02,6,2,1,07, , , , , ,1, ,7768,0
00,1023,7,11A218,01,40029,2,1,0,03,-,1,3,2,33,14/08/1990,1,02,6,2,5,01,4,4,2,1,000300,1, ,7768,0
00,1023,7,11A218,01,40029,3,1,0,03,-,1,3,1,30,10/12/1992,1,03,2,2,6,01,7,2,3,1,002200,1, ,7768,0
00,1023,7,12A218,01,40095,3,1,0,01,-,1,1,1,66,19/01/1957,1,07,5,2,5,08, , , , , ,1,1,7363,22374
00,1023,7,12A218,01,40095,4,1,0,01,-,1,1,2,41,30/07/1982,1,06,3,2,5,07, , , , , ,1,1,7363,7458
00,1023,7,12A218,01,40095,2,1,0,03,-,1,3,1,25,12/05/1998,1,07,1,2,6,01,5,5,3,2,005000,1, ,7363,0
00,1023,7,12A218,01,40095,2,1,0,01,-,1,1,1,66,19/01/1957,1,07,5,2,5,08, , , , , ,1, ,7363,0
00,1023,7,12A218,01,40095,3,1,0,02,-,1,2,2,69,07/05/1954,1,03,3,2,5,07, , , , , ,1, ,7363,0
00,1023,7,12A218,01,40095,1,1,0,01,-,1,1,2,73,25/01/1950,1,02,6,2,4,07, , , , , ,1,1,7363,7458
00,1023,7,12A218,01,40095,4,1,0,02,-,1,3,1,15,08/09/2008,1,03,2,1,6,06, , , , , ,1, ,7363,0
00,1023,7,12A218,01,40095,3,1,0,03,-,1,3,1,31,04/08/1992,1,07,1,2,6,01,5,5,3,2,005500,1, ,7363,0
00,1023,7,12A218,01,40095,2,1,0,02,-,1,2,2,57,19/07/1966,1,07,5,2,5,01,5,5,3,2,004000,1,1,7363,22374
00,1023,3,12A224,01,40152,1,1,0,06,-,1,3,2,20,04/11/2002,1,02,6,2,1,07, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,04,-,1,3,2,15,23/04/2008,1,03,3,1,6,06, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,03,-,1,3,2,32,18/12/1990,1,04,3,2,5,01,4,4,2,1,002000,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,07,-,1,3,2,02,27/08/2021, , , , , , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,04,-,1,3,1,29,20/04/1994,1,04,3,2,6,01,7,4,3,1,001500,1,1,6009,42605
00,1023,3,12A224,01,40152,2,1,0,02,-,1,3,1,14,15/07/2009,1,03,2,1,6,06, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,14,-,1,5,2,03,31/01/2020, , , , , , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,13,-,1,5,1,08,04/08/2015,2,00, ,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,10,-,1,5,1,12,24/03/2011,1,02,6,1,6,06, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,09,-,1,5,1,12,24/03/2011,1,02,6,1,6,06, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,06,-,1,3,2,06,07/06/2017,1,01,3,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,03,-,1,3,1,19,29/12/2003,1,04,3,1,6,01,7,3,3,1,001800,1,1,6009,18259
00,1023,3,12A224,01,40152,4,1,0,02,-,1,2,2,39,15/03/1984,1,03,3,2,5,07, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,01,-,1,1,1,29,11/11/1993,1,04,3,2,5,01,7,3,3,1,002500,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,05,-,1,3,2,22,19/12/2000,1,03,3,2,1,07, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,3,1,0,02,-,1,2,2,55,29/12/1967,1,03,3,2,5,07, , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,16,-,1,5,1,04,01/06/2019, , , , , , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,2,1,0,01,-,1,1,2,33,04/07/1990,1,03,3,2,3,01,5,5,3,2,002000,1,1,6009,6086
00,1023,3,12A224,01,40152,2,1,0,03,-,1,3,1,08,20/10/2014,1,02,3,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,3,1,0,01,-,1,1,1,57,27/12/1965,1,04,3,2,5,01,4,4,2,1,002300,1,1,6009,12173
00,1023,3,12A224,01,40152,1,1,0,02,-,1,2,1,55,12/04/1968,1,02,6,2,5,01,7,2,3,1,002200,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,12,-,1,5,1,05,12/04/2018,2,01,3,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,11,-,1,5,1,10,08/01/2013,1,02,6,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,15,-,1,5,2,01,11/12/2021, , , , , , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,01,-,1,1,2,51,11/12/1971,1,02,6,2,5,01,7,4,3,1,001500,1, ,6009,0
00,1023,3,12A224,01,40152,4,1,0,05,-,1,3,2,08,03/11/2014,1,02,3,1, , , , , , , ,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,07,-,1,5,1,22,16/11/2000,1,03,3,2,1,01,4,4,3,1,002000,1, ,6009,0
00,1023,3,12A224,01,40152,1,1,0,08,-,1,3,2,11,02/10/2012,1,02,5,1, , , , , , , ,1, ,6009,0
00,1023,6,12B211,01,40188,2,1,0,02,-,1,2,2,31,20/06/1992,1,04,1,2,1,07, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,4,1,0,03,-,1,3,2,14,15/09/2009,1,03,1,1,6,06, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,1,1,0,02,-,1,2,2,33,01/03/1990,1,07,1,2,5,07, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,3,1,0,03,-,1,5,2,09,05/03/2014,1,02,2,1, , , , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,1,1,0,01,-,1,1,1,39,17/07/1984,1,04,3,2,5,01,7,2,3,1,002100,1,1,6744,13662
00,1023,6,12B211,01,40188,2,1,0,04,-,1,4,1,66,15/06/1957,1,02,6,2,4,08, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,4,1,0,02,-,1,2,2,49,16/09/1974,1,03,3,2,5,01,7,2,3,1,002200,1,1,6744,13662
00,1023,6,12B211,01,40188,4,1,0,01,-,1,1,1,50,24/09/1973,1,04,3,2,5,09, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,3,1,0,02,-,1,3,2,34,15/09/1989,1,07,5,2,6,01,5,5,3,1,002300,1, ,6744,0
00,1023,6,12B211,01,40188,3,1,0,01,-,1,1,2,61,11/03/1962,1,07,5,2,4,08, , , , , ,1,1,6744,13662
00,1023,6,12B211,01,40188,1,1,0,03,-,1,3,1,12,04/01/2011,1,02,5,1,6,06, , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,2,1,0,03,-,1,3,1,09,20/08/2014,1,02,2,1, , , , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,1,1,0,04,-,1,3,1,06,06/09/2017,2,01,2,1, , , , , , , ,1, ,6744,0
00,1023,6,12B211,01,40188,2,1,0,01,-,1,1,1,30,13/04/1993,1,03,3,2,1,01,7,2,3,1,002100,1,1,6744,20492
00,1023,6,12B211,01,40188,3,1,0,04,-,1,4,1,01,20/03/2022, , , , , , , , , , , ,1, ,6744,0
00,1023,2,12A225,01,40280,1,1,0,04,-,1,3,1,11,18/10/2011,1,02,6,1, , , , , , , ,1, ,8241,0
00,1023,2,12A225,01,40280,2,1,0,01,-,1,1,2,64,08/01/1959,1,02,3,2,3,07, , , , , ,1,1,8241,8346
00,1023,2,12A225,01,40280,1,1,0,03,-,1,3,2,15,27/08/2008,1,03,3,1,6,06, , , , , ,1, ,8241,0
00,1023,2,12A225,01,40280,3,1,0,01,-,1,1,1,32,30/06/1991,1,07,5,2,5,01,1,2,3,3,016500,1, ,8241,0
00,1023,2,12A225,01,40280,1,1,0,01,-,1,1,2,46,03/02/1977,1,02,6,2,1,01,7,2,3,1,001600,1, ,8241,0
00,1023,2,12A225,01,40280,4,1,0,02,-,1,3,1,25,19/09/1998,1,07,5,2,6,04, , , , , ,1, ,8241,0
00,1023,2,12A225,01,40280,3,1,0,02,-,1,2,2,32,24/01/1991,1,07,5,2,5,01,1,2,3,3,016500,1,1,8241,25039
