"CD","PER","MPIO","N_ENT","AGEB","UPM","AREA","FOL","ENT","CON","N_PRO_VIV","V_SEL","N_HOG","H_MUD","R_PRE","FCH_PRE","R_DEF","FCH_DEF","E_OBS","RFC_ENT","RFC_SUP","P1","P2","P3","P4","R_INF","R_ELE","TEL","R_HAB","R_NUE","R_AUS","DIASEM","HORA","R_PRE_MOD","R_DEF_MOD","TIPO","FACTOR"
"14","1021","001","3","276-1","0101206","14","12A204","01","40005","0141","3","1","0","00","06/10/2021","00","20/10/2021","1","-","-","04","1",,,"02","01","-","04","00","00","-",,"00","00",1,9539
"14","1021","001","3","276-1","0101206","14","12A204","01","40005","0096","4","1","0","00","06/10/2021","00","14/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,9539
"14","1021","001","3","276-1","0101206","14","12A204","01","40005","0061","2","1","0","00","06/10/2021","00","14/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,9539
"14","1021","001","3","276-1","0101206","14","12A204","01","40005","0029","1","1","0","00","06/10/2021","00","14/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,9539
"14","1021","001","7","378-9","0101831","14","12A198","01","40040","0113","1","1","0","00","01/10/2021","00","05/10/2021","1","-","-","05","1",,,"03","03","-","05","00","00","-",,"00","00",1,7395
"14","1021","001","7","378-9","0101831","14","12A198","01","40040","0049","2","1","0","00","01/10/2021","00","05/10/2021","1","-","-","03","1",,,"03","03","-","03","00","00","-",,"00","00",1,7395
"14","1021","001","7","378-9","0101831","14","12A198","01","40040","0020","3","1","0","00","01/10/2021","00","05/10/2021","1","-","-","04","1",,,"04","04","-","04","00","00","-",,"00","00",1,7395
"14","1021","001","7","378-9","0101831","14","12A198","01","40040","0082","4","1","1","00","01/10/2021","00","05/10/2021","1","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,7395
"14","1021","001","6","263-4","0101083","14","12B191","01","40139","0047","2","1","0","00","15/10/2021","00","20/10/2021","1","-","-","04","1",,,"05","05","-","04","00","00","-",,"00","00",1,8524
"14","1021","001","6","263-4","0101083","14","12B191","01","40139","0096","4","1","0","00","15/10/2021","00","20/10/2021","1","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,8524
"14","1021","001","6","263-4","0101083","14","12B191","01","40139","0072","3","1","0","00","15/10/2021","00","20/10/2021","1","-","-","06","1",,,"02","02","-","06","00","00","-",,"00","00",1,8524
"14","1021","001","6","263-4","0101083","14","12B191","01","40139","0026","1","1","0","00","08/10/2021","00","14/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,8524
"14","1021","001","2","285-0","0101288","14","12A205","01","40165","0074","4","1","0","00","07/10/2021","00","14/10/2021","1","-","-","03","1",,,"02","03","-","03","00","00","-",,"00","00",1,6957
"14","1021","001","2","285-0","0101288","14","12A205","01","40165","0053","3","1","0","00","07/10/2021","00","14/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,6957
"14","1021","001","2","285-0","0101288","14","12A205","01","40165","0026","2","1","0","00","07/10/2021","00","14/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,6957
"14","1021","001","2","285-0","0101288","14","12A205","01","40165","0003","1","1","0","00","07/10/2021","00","14/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,6957
"14","1021","001","8","295-4","0101330","14","11A197","01","40198","0136","1","1","0","00","04/10/2021","00","05/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,10001
