CD,PER,MPIO,N_ENT,AGEB,UPM,AREA,FOL,ENT,CON,N_PRO_VIV,V_SEL,N_HOG,H_MUD,R_PRE,FCH_PRE,R_DEF,FCH_DEF,E_OBS,RFC_ENT,RFC_SUP,P1,P2,P3,P4,R_INF,R_ELE,TEL,R_HAB,R_NUE,R_AUS,DIASEM,HORA,R_PRE_MOD,R_DEF_MOD,TIPO,FACTOR
14,1022,001,7,276-1,0101206,14,12A204,01,40005,0061,2,1,0,00,03/10/2022,00,05/10/2022,1,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,9793
14,1022,001,7,276-1,0101206,14,12A204,01,40005,0141,3,1,0,00,03/10/2022,00,05/10/2022,1,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,9793
14,1022,001,7,276-1,0101206,14,12A204,01,40005,0096,4,1,0,00,03/10/2022,00,05/10/2022,1,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,9793
14,1022,001,7,276-1,0101206,14,12A204,01,40005,0029,1,1,0,00,03/10/2022,00,05/10/2022,1,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,9793
14,1022,001,3,380-6,0101841,14,11A218,01,40029,0088,4,1,0,00,14/10/2022,00,17/10/2022,1,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,7775
14,1022,001,3,380-6,0101841,14,11A218,01,40029,0100,3,1,0,00,10/10/2022,00,13/10/2022,1,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,7775
14,1022,001,3,380-6,0101841,14,11A218,01,40029,0025,1,1,0,00,12/10/2022,00,17/10/2022,1,-,-,05,1, , ,01,01,-,05,00,00,-, ,00,00,1,7775
14,1022,001,3,380-6,0101841,14,11A218,01,40029,0032,2,1,0,00,14/10/2022,00,21/10/2022,2,-,-,07,1, , ,01,04,-,07,00,00,-, ,00,00,1,7775
14,1022,001,3,216-A,0100724,14,12A218,01,40095,0086,3,1,0,00,06/10/2022,00,08/10/2022,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,6937
14,1022,001,3,216-A,0100724,14,12A218,01,40095,0060,2,1,0,00,06/10/2022,00,08/10/2022,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6937
14,1022,001,3,216-A,0100724,14,12A218,01,40095,0023,1,1,0,00,04/10/2022,00,05/10/2022,1,-,-,01, , , ,01,01,-,01,00,00,-, ,00,00,1,6937
14,1022,001,3,216-A,0100724,14,12A218,01,40095,0078,4,1,0,00,06/10/2022,00,08/10/2022,1,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,6937
14,1022,001,6,285-0,0101288,14,12A205,01,40165,0074,4,1,0,00,07/10/2022,00,21/10/2022,2,-,-,03,1, , ,02,03,-,03,00,00,-, ,00,00,1,7839
14,1022,001,6,285-0,0101288,14,12A205,01,40165,0053,3,1,0,00,07/10/2022,00,21/10/2022,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,7839
14,1022,001,6,285-0,0101288,14,12A205,01,40165,0026,2,1,0,00,05/10/2022,00,21/10/2022,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,7839
14,1022,001,6,285-0,0101288,14,12A205,01,40165,0003,1,1,0,00,05/10/2022,00,21/10/2022,2,-,-,03,1, , ,03,02,-,03,00,00,-, ,00,00,1,7839
14,1022,001,2,271-9,0101178,14,12B211,01,40188,0048,2,1,0,00,14/10/2022,00,21/10/2022,2,-,-,04,1, , ,02,01,-,04,00,00,-, ,00,00,1,7669
14,1022,001,2,271-9,0101178,14,12B211,01,40188,0034,4,1,0,00,07/10/2022,00,21/10/2022,2,-,-,03,1, , ,01,02,-,03,00,00,-, ,00,00,1,7669
14,1022,001,2,271-9,0101178,14,12B211,01,40188,0109,1,1,0,00,14/10/2022,00,21/10/2022,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,7669
14,1022,001,2,271-9,0101178,14,12B211,01,40188,0080,3,1,0,00,07/10/2022,00,21/10/2022,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,7669
14,1022,001,5,309-8,0101432,14,13A206,01,40294,0072,2,1,0,07,21/10/2022,07,21/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
14,1022,001,5,309-8,0101432,14,13A206,01,40294,0104,3,1,0,00,10/10/2022,00,13/10/2022,1,-,-,05,1, , ,01,01,-,05,00,00,-, ,00,00,1,9087
14,1022,001,5,309-8,0101432,14,13A206,01,40294,0044,4,1,0,00,03/10/2022,00,05/10/2022,1,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,9087
14,1022,001,5,309-8,0101432,14,13A206,01,40294,0019,1,1,0,07,21/10/2022,07,24/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
14,1022,001,5,359-6,0101717,14,11A206,01,40324,0016,4,1,0,00,05/10/2022,00,08/10/2022,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,6915
14,1022,001,5,359-6,0101717,14,11A206,01,40324,0065,3,1,0,00,05/10/2022,00,08/10/2022,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,00,1,6915
14,1022,001,5,359-6,0101717,14,11A206,01,40324,0108,2,1,0,00,05/10/2022,00,08/10/2022,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6915
14,1022,001,5,359-6,0101717,14,11A206,01,40324,0080,1,1,0,00,05/10/2022,00,08/10/2022,1,-,-,05,1, , ,01,01,-,05,00,00,-, ,00,00,1,6915
14,1022,001,1,140-5,0100459,14,11B212,01,40350,0062,3,1,0,00,10/10/2022,00,11/10/2022,2,-,-,06,1, , ,01,02,-,06,00,00,-, ,00,00,1,7250
14,1022,001,1,140-5,0100459,14,11B212,01,40350,0042,2,1,0,00,10/10/2022,00,11/10/2022,1,-,-,05,1, , ,02,02,-,05,00,00,-, ,00,00,1,7250
14,1022,001,1,140-5,0100459,14,11B212,01,40350,0086,4,1,0,00,10/10/2022,00,13/10/2022,1,-,-,04,1, , ,01,03,-,04,00,00,-, ,00,00,1,7250
14,1022,001,1,140-5,0100459,14,11B212,01,40350,0021,1,1,0,00,06/10/2022,00,08/10/2022,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,00,1,7250
14,1022,001,1,373-6,0101786,14,13B212,01,40355,0042,4,1,0,00,20/10/2022,00,21/10/2022,1,-,-,04,1, , ,01,02,-,04,00,00,-, ,00,00,1,9703
14,1022,001,1,373-6,0101786,14,13B212,01,40355,0075,3,1,0,00,12/10/2022,00,17/10/2022,2,-,-,05,1, , ,01,02,-,05,00,00,-, ,00,00,1,9703
14,1022,001,1,373-6,0101786,14,13B212,01,40355,0045,2,1,0,00,17/10/2022,00,17/10/2022,2,-,-,04,1, , ,02,02,-,04,00,00,-, ,00,00,1,9703
14,1022,001,1,373-6,0101786,14,13B212,01,40355,0090,1,1,0,00,17/10/2022,00,17/10/2022,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,9703
14,1022,001,8,325-7,0101517,14,11A203,01,40387,0098,4,1,0,00,10/10/2022,00,13/10/2022,1,-,-,02,1, , ,01,02,-,02,00,00,-, ,00,00,1,7744
14,1022,001,8,325-7,0101517,14,11A203,01,40387,0069,3,1,0,00,10/10/2022,00,11/10/2022,2,-,-,06,1, , ,01,01,-,06,00,00,-, ,00,00,1,7744
14,1022,001,8,325-7,0101517,14,11A203,01,40387,0044,2,1,0,00,10/10/2022,00,11/10/2022,2,-,-,04,1, , ,02,02,-,04,00,00,-, ,00,00,1,7744
14,1022,001,8,325-7,0101517,14,11A203,01,40387,0020,1,1,0,00,10/10/2022,00,11/10/2022,1,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,7744
14,1022,001,4,056-8,0100162,14,12A217,01,40411,0098,3,1,0,07,21/10/2022,07,24/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
14,1022,001,4,056-8,0100162,14,12A217,01,40411,0044,1,1,0,00,04/10/2022,00,05/10/2022,1,-,-,02,1, , ,02,02,-,02,00,00,-, ,00,00,1,6359
14,1022,001,4,056-8,0100162,14,12A217,01,40411,0070,2,1,0,00,04/10/2022,00,05/10/2022,1,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6359
14,1022,001,4,056-8,0100162,14,12A217,01,40411,0017,4,1,0,00,04/10/2022,00,05/10/2022,1,-,-,03,1, , ,03,03,-,03,00,00,-, ,00,00,1,6359
14,1022,001,8,333-1,0101610,14,12A203,01,40419,0019,1,1,0,00,07/10/2022,00,08/10/2022,1,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,8440
14,1022,001,8,333-1,0101610,14,12A203,01,40419,0073,3,1,0,00,07/10/2022,00,08/10/2022,2,-,-,06,1, , ,01,01,-,06,00,00,-, ,00,00,1,8440
14,1022,001,8,333-1,0101610,14,12A203,01,40419,0096,4,1,0,00,07/10/2022,00,08/10/2022,2,-,-,02,1, , ,02,02,-,02,00,00,-, ,00,00,1,8440
14,1022,001,8,333-1,0101610,14,12A203,01,40419,0046,2,1,0,00,07/10/2022,00,08/10/2022,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,8440
21,1022,004,7,590-2,0206203,21,11A204,02,40034,0075,4,1,0,00,13/10/2022,00,17/10/2022,2,-,-,05,1, , ,02,02,-,05,00,00,-, ,00,00,1,7572
21,1022,004,7,590-2,0206203,21,11A204,02,40034,0106,1,1,0,00,18/10/2022,00,21/10/2022,1,-,-,05,1, , ,03,03,-,05,00,00,-, ,00,00,1,7572
21,1022,004,7,590-2,0206203,21,11A204,02,40034,0036,2,1,0,03,21/10/2022,03,21/10/2022,1,-,-, , , , , , ,-, , , ,-, ,03,03,1,0
21,1022,004,7,590-2,0206203,21,11A204,02,40034,0006,3,1,0,00,13/10/2022,00,17/10/2022,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,7572
21,1022,004,7,042-2,0203274,21,13A204,02,40099,0066,2,1,0,00,19/10/2022,00,21/10/2022,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,18354
21,1022,004,7,042-2,0203274,21,13A204,02,40099,0153,4,1,0,00,18/10/2022,00,20/10/2022,1,-,-,09,1, , ,03,03,-,09,00,00,-, ,00,00,1,18354
21,1022,004,7,042-2,0203274,21,13A204,02,40099,0129,3,1,0,00,18/10/2022,00,20/10/2022,1,-,-,04,1, , ,02,02,-,04,00,00,-, ,15,15,1,0
21,1022,004,7,042-2,0203274,21,13A204,02,40099,0001,1,1,0,07,14/10/2022,07,17/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
21,1022,004,3,182-5,0203852,21,11A218,02,40124,0007,4,1,0,00,17/10/2022,00,21/10/2022,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,8827
21,1022,004,3,182-5,0203852,21,11A218,02,40124,0127,3,1,0,00,16/10/2022,00,17/10/2022,2,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,8827
21,1022,004,3,182-5,0203852,21,11A218,02,40124,0088,2,1,0,07,19/10/2022,07,20/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
21,1022,004,3,182-5,0203852,21,11A218,02,40124,0103,1,1,0,07,19/10/2022,07,20/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
21,1022,004,3,796-6,0206912,21,13A218,02,40161,0049,2,1,0,00,10/10/2022,00,13/10/2022,1,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,9749
21,1022,004,3,796-6,0206912,21,13A218,02,40161,0108,4,1,0,03,21/10/2022,03,21/10/2022,1,-,-, , , , , , ,-, , , ,-, ,03,03,1,0
21,1022,004,3,796-6,0206912,21,13A218,02,40161,0082,3,1,0,00,11/10/2022,00,21/10/2022,1,-,-,05,1, , ,02,01,-,05,00,00,-, ,00,00,1,9749
21,1022,004,3,796-6,0206912,21,13A218,02,40161,0014,1,1,0,00,12/10/2022,00,13/10/2022,2,-,-,04,1, , ,03,03,-,04,00,00,-, ,00,00,1,9749
21,1022,004,2,018-9,0203200,21,12B211,02,40191,0072,2,1,0,07,17/10/2022,07,17/10/2022,1,-,-, , , , , , ,-, , , ,-, ,07,07,1,0
21,1022,004,2,018-9,0203200,21,12B211,02,40191,0096,3,1,0,00,15/10/2022,00,17/10/2022,1,-,-,02,1, , ,01,01,-,02,00,02,-, ,00,00,1,5191
21,1022,004,2,018-9,0203200,21,12B211,02,40191,0053,4,1,0,00,06/10/2022,00,07/10/2022,1,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,00,1,5191
21,1022,004,2,018-9,0203200,21,12B211,02,40191,0008,1,1,0,03,20/10/2022,03,21/10/2022,1,-,-, , , , , , ,-, , , ,-, ,03,03,1,0
21,1022,004,2,557-A,0206006,21,11B211,02,40255,0098,3,1,1,00,04/10/2022,00,07/10/2022,1,-,-,01, , , ,01,01,-,01,00,00,-, ,00,00,1,5085
21,1022,004,2,557-A,0206006,21,11B211,02,40255,0009,1,1,0,00,04/10/2022,00,07/10/2022,1,-,-,02,1, , ,01,01,-,02,00,00,-, ,00,00,1,5085
21,1022,004,2,557-A,0206006,21,11B211,02,40255,0143,4,1,0,00,06/10/2022,00,10/10/2022,1,-,-,04,1, , ,02,02,-,04,00,00,-, ,00,00,1,5085
21,1022,004,2,557-A,0206006,21,11B211,02,40255,0055,2,1,0,00,06/10/2022,00,10/10/2022,1,-,-,04,1, , ,02,02,-,04,00,00,-, ,00,00,1,5085
21,1022,004,6,342-7,0204719,21,12A205,02,40259,0057,2,1,0,00,12/10/2022,00,20/10/2022,1,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6922
21,1022,004,6,342-7,0204719,21,12A205,02,40259,0085,3,1,0,00,12/10/2022,00,14/10/2022,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,00,1,6922
