CD,PER,MPIO,N_ENT,AGEB,UPM,AREA,FOL,ENT,CON,N_PRO_VIV,V_SEL,N_HOG,H_MUD,R_PRE,FCH_PRE,R_DEF,FCH_DEF,E_OBS,CTA_ENT,CTA_SUP,P1,P2,P3,P4,R_INF,R_ELE,TEL,R_HAB,R_NUE,R_AUS,DIASEM,HORA,R_PRE_MOD,FCH_PRE_MO,R_DEF_MOD,FCH_DEF_MO,TIPO,FACTOR
14,1024,001,1,379-3,0100383,14,11A232,01,40091,0108,3,1,0,00,06/11/2024,00,06/11/2024,2,-,-,05,1, , ,01,02,-,05,00,00,-, ,00,06/11/2024,00,06/11/2024,1,7784
14,1024,001,1,379-3,0100383,14,11A232,01,40091,0038,2,1,0,00,05/11/2024,00,05/11/2024,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,05/11/2024,00,05/11/2024,1,7784
14,1024,001,1,379-3,0100383,14,11A232,01,40091,0069,4,1,0,00,06/11/2024,00,06/11/2024,2,-,-,02,1, , ,01,02,-,02,00,00,-, ,00,06/11/2024,00,06/11/2024,1,7784
14,1024,001,1,379-3,0100383,14,11A232,01,40091,0124,1,1,0,00,05/11/2024,00,05/11/2024,2,-,-,04,1, , ,01,01,-,04,00,00,-, ,00,05/11/2024,00,05/11/2024,1,7784
14,1024,001,1,058-7,0100619,14,11A232,01,40095,0073,3,1,0,00,31/10/2024,00,31/10/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,31/10/2024,00,31/10/2024,1,9780
14,1024,001,1,058-7,0100619,14,11A232,01,40095,0042,2,1,0,00,31/10/2024,00,31/10/2024,2,-,-,03,1, , ,02,03,-,03,00,00,-, ,00,31/10/2024,00,31/10/2024,1,9780
14,1024,001,1,058-7,0100619,14,11A232,01,40095,0012,1,1,0,00,31/10/2024,00,31/10/2024,2,-,-,10,1, , ,04,04,-,10,00,00,-, ,00,31/10/2024,00,31/10/2024,1,9780
14,1024,001,1,058-7,0100619,14,11A232,01,40095,0102,4,1,0,12,12/11/2024,12,12/11/2024,2,-,-, , , , , , ,-, , , ,-, ,12,12/11/2024,12,12/11/2024,1,0
14,1024,001,1,406-2,0100732,14,11A232,01,40097,0062,1,1,0,00,29/10/2024,00,29/10/2024,2,-,-,06,1, , ,04,03,-,06,00,00,-, ,00,29/10/2024,00,29/10/2024,1,8383
14,1024,001,1,406-2,0100732,14,11A232,01,40097,0096,2,1,0,06,12/11/2024,06,12/11/2024,2,-,-, , , , , , ,-, , , ,-, ,06,12/11/2024,06,12/11/2024,1,0
14,1024,001,1,406-2,0100732,14,11A232,01,40097,0031,4,1,0,00,30/10/2024,00,30/10/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,30/10/2024,00,30/10/2024,1,8383
14,1024,001,1,406-2,0100732,14,11A232,01,40097,0127,3,1,0,00,29/10/2024,00,29/10/2024,2,-,-,05,1, , ,02,02,-,05,00,00,-, ,00,29/10/2024,00,29/10/2024,1,8383
14,1024,001,1,325-7,0102171,14,11A232,01,40108,0072,3,1,0,00,01/11/2024,00,01/11/2024,2,-,-,08,1, , ,03,04,-,08,00,00,-, ,00,01/11/2024,00,01/11/2024,1,8251
14,1024,001,1,325-7,0102171,14,11A232,01,40108,0104,4,1,0,00,30/10/2024,00,30/10/2024,2,-,-,06,1, , ,02,02,-,06,00,00,-, ,00,30/10/2024,00,30/10/2024,1,8251
14,1024,001,1,325-7,0102171,14,11A232,01,40108,0038,2,1,0,00,06/11/2024,00,06/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,06/11/2024,00,06/11/2024,1,8251
14,1024,001,1,325-7,0102171,14,11A232,01,40108,0001,1,1,0,00,07/11/2024,00,07/11/2024,2,-,-,03,1, , ,02,01,-,03,00,00,-, ,16,07/11/2024,16,07/11/2024,1,0
14,1024,001,1,270-4,0100146,14,12A232,01,40117,0012,1,1,0,00,08/11/2024,00,08/11/2024,2,-,-,02,1, , ,02,01,-,02,00,00,-, ,00,08/11/2024,00,08/11/2024,1,7138
14,1024,001,1,270-4,0100146,14,12A232,01,40117,0079,4,1,0,00,04/11/2024,00,04/11/2024,2,-,-,02,1, , ,02,02,-,02,00,00,-, ,00,04/11/2024,00,04/11/2024,1,7138
14,1024,001,1,270-4,0100146,14,12A232,01,40117,0038,2,1,0,00,05/11/2024,00,05/11/2024,2,-,-,02,1, , ,02,02,-,02,00,00,-, ,00,05/11/2024,00,05/11/2024,1,7138
14,1024,001,1,270-4,0100146,14,12A232,01,40117,0056,3,1,0,00,05/11/2024,00,05/11/2024,2,-,-,04,1, , ,01,02,-,04,00,00,-, ,00,05/11/2024,00,05/11/2024,1,7138
14,1024,001,1,034-1,0101163,14,12A232,01,40127,0070,1,1,0,00,30/10/2024,00,30/10/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,30/10/2024,00,30/10/2024,1,8172
14,1024,001,1,034-1,0101163,14,12A232,01,40127,0109,2,1,0,00,30/10/2024,00,30/10/2024,2,-,-,03,1, , ,01,02,-,03,00,00,-, ,00,30/10/2024,00,30/10/2024,1,8172
14,1024,001,1,034-1,0101163,14,12A232,01,40127,0130,3,1,0,00,31/10/2024,00,31/10/2024,2,-,-,06,1, , ,01,02,-,06,00,00,-, ,00,31/10/2024,00,31/10/2024,1,8172
14,1024,001,1,034-1,0101163,14,12A232,01,40127,0038,4,1,0,00,02/11/2024,00,02/11/2024,2,-,-,03,1, , ,01,03,-,03,00,00,-, ,00,02/11/2024,00,02/11/2024,1,8172
14,1024,001,1,035-6,0101252,14,12A232,01,40130,0070,2,1,0,00,31/10/2024,00,31/10/2024,2,-,-,04,1, , ,01,03,-,04,00,00,-, ,00,31/10/2024,00,31/10/2024,1,6148
14,1024,001,1,035-6,0101252,14,12A232,01,40130,0027,4,1,0,00,30/10/2024,00,30/10/2024,2,-,-,02,1, , ,02,02,-,02,00,00,-, ,00,30/10/2024,00,30/10/2024,1,6148
14,1024,001,1,035-6,0101252,14,12A232,01,40130,0049,1,1,0,00,30/10/2024,00,30/10/2024,2,-,-,06,1, , ,03,02,-,06,00,00,-, ,00,30/10/2024,00,30/10/2024,1,6148
14,1024,001,1,035-6,0101252,14,12A232,01,40130,0007,3,1,0,00,04/11/2024,00,04/11/2024,2,-,-,03,1, , ,01,01,-,03,00,00,-, ,00,04/11/2024,00,04/11/2024,1,6148
14,1024,001,1,059-1,0101541,14,12A232,01,40134,0023,1,1,0,00,01/11/2024,00,01/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,01/11/2024,00,01/11/2024,1,8764
14,1024,001,1,059-1,0101541,14,12A232,01,40134,0109,2,1,0,00,01/11/2024,00,01/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,01/11/2024,00,01/11/2024,1,8764
14,1024,001,1,059-1,0101541,14,12A232,01,40134,0024,3,1,0,00,13/11/2024,00,13/11/2024,2,-,-,04,1, , ,01,03,-,04,00,00,-, ,15,13/11/2024,15,13/11/2024,1,0
14,1024,001,1,059-1,0101541,14,12A232,01,40134,0090,4,1,0,00,31/10/2024,00,31/10/2024,2,-,-,04,1, , ,02,01,-,04,00,00,-, ,00,31/10/2024,00,31/10/2024,1,8764
14,1024,001,1,402-4,0100480,14,13A232,01,40147,0147,4,1,0,00,08/11/2024,00,08/11/2024,2,-,-,02,1, , ,01,02,-,02,00,00,-, ,00,08/11/2024,00,08/11/2024,1,12346
14,1024,001,1,402-4,0100480,14,13A232,01,40147,0071,2,1,0,00,05/11/2024,00,05/11/2024,2,-,-,06,1, , ,01,01,-,06,00,00,-, ,00,05/11/2024,00,05/11/2024,1,12346
14,1024,001,1,402-4,0100480,14,13A232,01,40147,0173,3,1,0,00,08/11/2024,00,08/11/2024,2,-,-,05,1, , ,01,02,-,05,00,00,-, ,00,08/11/2024,00,08/11/2024,1,12346
14,1024,001,1,402-4,0100480,14,13A232,01,40147,0024,1,1,0,06,12/11/2024,06,12/11/2024,2,-,-, , , , , , ,-, , , ,-, ,06,12/11/2024,06,12/11/2024,1,0
14,1024,001,1,067-6,0100595,14,13A232,01,40149,0096,1,1,0,00,04/11/2024,00,04/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,04/11/2024,00,04/11/2024,1,9406
14,1024,001,1,067-6,0100595,14,13A232,01,40149,0073,3,1,0,00,04/11/2024,00,04/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,04/11/2024,00,04/11/2024,1,9406
14,1024,001,1,067-6,0100595,14,13A232,01,40149,0007,4,1,0,00,11/11/2024,00,11/11/2024,2,-,-,02,1, , ,01,02,-,02,00,00,-, ,14,11/11/2024,14,11/11/2024,1,0
14,1024,001,1,067-6,0100595,14,13A232,01,40149,0130,2,1,0,06,12/11/2024,06,12/11/2024,2,-,-, , , , , , ,-, , , ,-, ,06,12/11/2024,06,12/11/2024,1,0
14,1024,001,1,242-2,0101313,14,13A232,01,40156,0063,4,1,0,00,30/10/2024,00,30/10/2024,2,-,-,03,1, , ,02,02,-,03,00,00,-, ,00,30/10/2024,00,30/10/2024,1,10251
14,1024,001,1,242-2,0101313,14,13A232,01,40156,0029,3,1,0,00,31/10/2024,00,31/10/2024,2,-,-,03,1, , ,02,01,-,03,00,00,-, ,00,31/10/2024,00,31/10/2024,1,10251
14,1024,001,1,242-2,0101313,14,13A232,01,40156,0128,2,1,0,00,30/10/2024,00,30/10/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,30/10/2024,00,30/10/2024,1,10251
14,1024,001,1,242-2,0101313,14,13A232,01,40156,0095,1,1,0,00,01/11/2024,00,01/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,01/11/2024,00,01/11/2024,1,10251
14,1024,001,1,247-5,0102108,14,13A232,01,40162,0092,1,1,0,00,07/11/2024,00,07/11/2024,2,-,-,01, , , ,01,01,-,01,00,00,-, ,00,07/11/2024,00,07/11/2024,1,10246
