N_ENT,ENT,N_REN,cb_P1,cb_P2,cb_P3_1,cb_P3_2,cb_P3_3,cb_P3_4,cb_P3_5,cb_P3_6,cb_P3_7,cb_P3_8,cb_P3_9,cb_P3_10,cb_P3_11,cb_P4_1,cb_P4_2,cb_P4_3,cb_P4_4,cb_P4_5,cb_P4_6,cb_P4_7,cb_P4_8,cb_P4_9,cb_P4_10,cb_P5_1,cb_P5_2,cb_P5_3,cb_P5_4,cb_P5_5,cb_P5_6,cb_P5_7,cb_P5_8,cb_P5_9,cb_P5_10,cb_P5_11,cb_P5_12,cs_SEX,cs_EDA,cs_ALF,cs_I_NIV,cs_E_CON,cs_C_ACT,cs_OCU,cs_A_ECO,cs_POS,cs_ING,viv_FCH_PRE,viv_FCH_DEF,viv_P1,viv_P2,viv_P3,viv_P4,ANIO
3,Aguascalientes,1,7,8,8,10,10,8,10,10,8,10,10,10,4,10,7,8,8,10,0,3,1,0,0,8,8,8,10,7,8,5,10,10,10,8,6,Mujer,51,Sabe leer y escribir,Maestría,Soltero(a),Espera respuesta a una solicitud de trabajo,No trabaja,No trabaja,No trabaja,,2021-10-06,2021-10-14,2,Sí,1,2,2021
3,Aguascalientes,1,10,10,10,10,10,10,10,10,10,10,8,10,2,10,10,9,10,10,0,0,1,0,0,10,10,10,10,9,7,0,10,10,10,7,6,Mujer,28,Sabe leer y escribir,Profesional,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Industria,"Trabajador(a) a sueldo fijo, salario o jornal",9000.0,2021-10-06,2021-10-14,2,Sí,1,2,2021
3,Aguascalientes,1,10,8,9,10,10,10,10,10,10,10,10,9,0,10,9,8,10,10,0,1,1,0,0,8,10,9,10,9,8,5,10,10,10,8,7,Hombre,56,Sabe leer y escribir,Preparatoria o bachillerato,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1000.0,2021-10-06,2021-10-14,3,Sí,1,3,2021
3,Aguascalientes,1,9,9,10,10,10,10,10,10,10,10,8,10,0,10,10,10,10,10,0,0,0,0,0,10,10,9,10,9,10,5,10,10,10,9,7,Hombre,54,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,Profesionistas y técnicos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",6500.0,2021-10-06,2021-10-20,4,Sí,1,4,2021
7,Aguascalientes,3,10,10,10,10,10,9,10,10,9,10,10,8,3,10,10,10,10,10,0,0,0,0,0,9,10,8,10,8,8,6,10,10,10,7,6,Mujer,19,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,"Trabajador(a) a sueldo fijo, salario o jornal",800.0,2021-10-01,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,3,10,10,10,10,10,10,10,10,8,10,6,8,2,10,9,8,10,10,0,1,2,0,0,8,9,7,8,8,7,0,10,10,10,8,6,Hombre,22,Sabe leer y escribir,Secundaria,Soltero(a),Trabajó por lo menos una hora para obtener ingresos,Trabajadores en servicios personales y conductores de vehículos,Servicios,"Trabajador(a) a sueldo fijo, salario o jornal",1200.0,2021-10-01,2021-10-05,3,Sí,1,3,2021
7,Aguascalientes,2,10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,0,0,0,0,0,9,9,8,10,8,10,5,10,8,8,9,7,Mujer,21,Sabe leer y escribir,Secundaria,Unión libre,Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-01,2021-10-05,5,Sí,1,5,2021
7,Aguascalientes,4,8,8,8,10,10,10,8,10,10,10,6,7,3,10,7,7,10,10,0,2,2,0,0,8,10,8,10,7,10,6,10,10,8,8,7,Hombre,24,Sabe leer y escribir,Preparatoria o bachillerato,Soltero(a),Buscó trabajo,No trabaja,No trabaja,No trabaja,,2021-10-01,2021-10-05,4,Sí,1,4,2021
6,Aguascalientes,1,9,8,10,10,10,10,10,10,10,10,8,9,2,10,10,7,10,10,0,0,2,0,0,8,8,8,10,8,10,3,10,10,8,8,7,Hombre,56,Sabe leer y escribir,Profesional,Casado(a),Trabajó por lo menos una hora para obtener ingresos,"Comerciantes, vendedores y similares",Comercio,Trabajador(a) por su cuenta,1200.0,2021-10-15,2021-10-20,1,No aplica,1,1,2021
6,Aguascalientes,2,8,8,8,8,10,8,10,10,10,10,10,8,3,5,8,7,10,8,5,1,2,0,0,8,8,8,10,7,10,5,10,10,8,8,6,Mujer,59,Sabe leer y escribir,Primaria,Casado(a),Se dedica a los quehaceres del hogar,No trabaja,No trabaja,No trabaja,,2021-10-15,2021-10-20,6,Sí,1,6,2021
